shipment_id,drug_code,drug_name,origin_facility,destination_country,region,ship_date,quantity_units,batch_id,cold_chain_required,delivery_status
SHP300031,MRK-1001,Cardiozin,Singapore-Plant-03,USA,North America,2025-06-29,39531,BATCH-54601,False,Customs Hold
SHP300032,MRK-1004,Glucostat,Singapore-Plant-03,Mexico,North America,2026-07-16,15832,BATCH-54614,False,In Transit
SHP300033,MRK-1002,Oncavera,Singapore-Plant-03,Mexico,North America,2025-08-31,27343,BATCH-78428,False,Delayed
SHP300034,MRK-1005,Neuroplex,Singapore-Plant-03,France,EMEA,2025-02-03,18649,BATCH-77449,False,Delayed
SHP300035,MRK-1008,Dermalyx,Ireland-Plant-02,South Korea,APAC,2024-06-23,37268,BATCH-74261,False,Delayed
SHP300036,MRK-1006,Vaxishield,NJ-Plant-01,Germany,EMEA,2026-05-12,39319,BATCH-33481,True,In Transit
SHP300037,MRK-1002,Oncavera,Singapore-Plant-03,Chile,Latin America,2025-08-20,30827,BATCH-80623,False,Delivered
SHP300038,MRK-1003,Immunext,Ireland-Plant-02,India,APAC,2025-10-16,40374,BATCH-20741,True,Customs Hold
SHP300039,MRK-1001,Cardiozin,Ireland-Plant-02,Australia,APAC,2026-07-26,17715,BATCH-22960,False,Delayed
SHP300040,MRK-1004,Glucostat,Singapore-Plant-03,Argentina,Latin America,2026-02-17,10977,BATCH-61277,False,Delivered
SHP300041,MRK-1002,Oncavera,NJ-Plant-01,UK,EMEA,2025-10-15,2445,BATCH-79227,False,Delayed
SHP300042,MRK-1007,Pulmocare,Singapore-Plant-03,USA,North America,2025-08-14,16606,BATCH-74446,False,Delivered
SHP300043,MRK-1005,Neuroplex,Singapore-Plant-03,Japan,APAC,2026-06-27,1985,BATCH-90897,False,In Transit
SHP300044,MRK-1002,Oncavera,Ireland-Plant-02,Argentina,Latin America,2025-08-13,3579,BATCH-51369,False,In Transit
SHP300045,MRK-1007,Pulmocare,Ireland-Plant-02,Chile,Latin America,2024-07-31,14984,BATCH-21721,False,Delayed
SHP300046,MRK-1001,Cardiozin,Ireland-Plant-02,Chile,Latin America,2024-01-13,44339,BATCH-35579,False,In Transit
SHP300047,MRK-1007,Pulmocare,NJ-Plant-01,Mexico,North America,2026-02-01,8465,BATCH-85454,False,In Transit
SHP300048,MRK-1002,Oncavera,NJ-Plant-01,USA,North America,2026-05-28,35406,BATCH-85170,False,Customs Hold
SHP300049,MRK-1005,Neuroplex,NJ-Plant-01,France,EMEA,2024-12-23,8447,BATCH-65914,False,Delivered
SHP300050,MRK-1001,Cardiozin,Singapore-Plant-03,Japan,APAC,2026-05-26,33417,BATCH-26124,False,Delivered
SHP300051,MRK-1005,Neuroplex,Ireland-Plant-02,Japan,APAC,2026-06-19,9388,BATCH-37810,False,Customs Hold
SHP300052,MRK-1004,Glucostat,Singapore-Plant-03,Brazil,Latin America,2026-07-16,22995,BATCH-79590,False,Customs Hold
SHP300053,MRK-1004,Glucostat,NJ-Plant-01,Argentina,Latin America,2024-05-23,29327,BATCH-38446,False,Delayed
SHP300054,MRK-1007,Pulmocare,Singapore-Plant-03,UK,EMEA,2024-12-27,16359,BATCH-17910,False,Delivered
SHP300055,MRK-1006,Vaxishield,Singapore-Plant-03,South Korea,APAC,2024-04-02,24533,BATCH-48259,True,Customs Hold
SHP300056,MRK-1004,Glucostat,Ireland-Plant-02,Mexico,North America,2024-12-08,25786,BATCH-41379,False,Customs Hold
SHP300057,MRK-1003,Immunext,NJ-Plant-01,Australia,APAC,2026-03-19,8081,BATCH-59785,True,Delayed
SHP300058,MRK-1004,Glucostat,Singapore-Plant-03,Chile,Latin America,2025-09-20,3291,BATCH-27566,False,In Transit
SHP300059,MRK-1008,Dermalyx,NJ-Plant-01,Brazil,Latin America,2025-04-12,2346,BATCH-81395,False,Customs Hold
SHP300060,MRK-1007,Pulmocare,Ireland-Plant-02,Brazil,Latin America,2024-12-17,16842,BATCH-33211,False,Delivered
SHP300061,MRK-1007,Pulmocare,Singapore-Plant-03,Australia,APAC,2024-03-11,46689,BATCH-64029,False,Delivered
SHP300062,MRK-1001,Cardiozin,Ireland-Plant-02,Mexico,North America,2025-12-14,30766,BATCH-93179,False,In Transit
SHP300063,MRK-1006,Vaxishield,NJ-Plant-01,South Korea,APAC,2026-04-28,17906,BATCH-58929,True,Delivered
SHP300064,MRK-1001,Cardiozin,NJ-Plant-01,Germany,EMEA,2024-05-18,32639,BATCH-11084,False,Delayed
SHP300065,MRK-1003,Immunext,NJ-Plant-01,Argentina,Latin America,2024-08-01,28170,BATCH-76730,True,Delivered
SHP300066,MRK-1005,Neuroplex,Singapore-Plant-03,Australia,APAC,2025-04-09,8106,BATCH-85892,False,In Transit
SHP300067,MRK-1006,Vaxishield,Singapore-Plant-03,Germany,EMEA,2025-08-12,27485,BATCH-15885,True,Customs Hold
SHP300068,MRK-1008,Dermalyx,Singapore-Plant-03,Argentina,Latin America,2025-12-12,43706,BATCH-92142,False,Delivered
SHP300069,MRK-1003,Immunext,Ireland-Plant-02,France,EMEA,2025-09-20,33867,BATCH-45339,True,Delayed
SHP300070,MRK-1006,Vaxishield,Singapore-Plant-03,Mexico,North America,2024-08-30,22038,BATCH-69464,True,In Transit
SHP300071,MRK-1008,Dermalyx,NJ-Plant-01,Canada,North America,2024-09-29,13380,BATCH-94122,False,Customs Hold
SHP300072,MRK-1002,Oncavera,Singapore-Plant-03,Canada,North America,2026-05-09,18259,BATCH-14602,False,In Transit
SHP300073,MRK-1005,Neuroplex,NJ-Plant-01,Germany,EMEA,2025-06-03,32836,BATCH-81876,False,Customs Hold
SHP300074,MRK-1008,Dermalyx,NJ-Plant-01,India,APAC,2026-01-19,15837,BATCH-63045,False,Delayed
SHP300075,MRK-1008,Dermalyx,NJ-Plant-01,Brazil,Latin America,2026-04-29,16954,BATCH-40480,False,Delivered
SHP300076,MRK-1001,Cardiozin,Singapore-Plant-03,Canada,North America,2024-07-16,34097,BATCH-64936,False,Delivered
SHP300077,MRK-1003,Immunext,Ireland-Plant-02,South Africa,EMEA,2024-05-16,23351,BATCH-31870,True,Delivered
SHP300078,MRK-1005,Neuroplex,NJ-Plant-01,Mexico,North America,2026-05-17,11666,BATCH-21140,False,Delivered
SHP300079,MRK-1006,Vaxishield,Ireland-Plant-02,Argentina,Latin America,2024-05-17,979,BATCH-46634,True,Delivered
SHP300080,MRK-1001,Cardiozin,Singapore-Plant-03,Mexico,North America,2025-12-07,32923,BATCH-87537,False,Delayed
SHP300081,MRK-1002,Oncavera,NJ-Plant-01,UK,EMEA,2024-10-04,24829,BATCH-82199,False,Delivered
SHP300082,MRK-1001,Cardiozin,NJ-Plant-01,Chile,Latin America,2025-09-22,20787,BATCH-93137,False,In Transit
SHP300083,MRK-1003,Immunext,Singapore-Plant-03,South Korea,APAC,2024-01-29,38994,BATCH-83140,True,Customs Hold
SHP300084,MRK-1003,Immunext,Ireland-Plant-02,Argentina,Latin America,2026-06-05,38139,BATCH-36828,True,In Transit
SHP300085,MRK-1003,Immunext,NJ-Plant-01,Japan,APAC,2025-05-22,20065,BATCH-34316,True,Delayed
SHP300086,MRK-1001,Cardiozin,NJ-Plant-01,India,APAC,2024-06-25,27973,BATCH-24140,False,Delivered
SHP300087,MRK-1001,Cardiozin,Ireland-Plant-02,France,EMEA,2025-01-26,34961,BATCH-23004,False,Customs Hold
SHP300088,MRK-1004,Glucostat,Singapore-Plant-03,Canada,North America,2024-01-13,10285,BATCH-62344,False,Customs Hold
SHP300089,MRK-1003,Immunext,NJ-Plant-01,USA,North America,2026-03-08,2803,BATCH-87929,True,Delayed
SHP300090,MRK-1004,Glucostat,NJ-Plant-01,Argentina,Latin America,2026-01-08,9382,BATCH-84873,False,Delayed
SHP300091,MRK-1004,Glucostat,NJ-Plant-01,Chile,Latin America,2025-08-20,2543,BATCH-54428,False,Customs Hold
SHP300092,MRK-1008,Dermalyx,Ireland-Plant-02,Japan,APAC,2024-03-02,6777,BATCH-41902,False,In Transit
SHP300093,MRK-1006,Vaxishield,NJ-Plant-01,USA,North America,2026-03-28,30737,BATCH-90653,True,Customs Hold
SHP300094,MRK-1002,Oncavera,NJ-Plant-01,Germany,EMEA,2025-11-01,30087,BATCH-31003,False,Delivered
SHP300095,MRK-1002,Oncavera,Singapore-Plant-03,South Africa,EMEA,2025-08-02,3203,BATCH-76757,False,Customs Hold
SHP300096,MRK-1002,Oncavera,NJ-Plant-01,Argentina,Latin America,2024-05-25,12665,BATCH-13270,False,Delayed
SHP300097,MRK-1006,Vaxishield,Ireland-Plant-02,South Korea,APAC,2026-03-22,7831,BATCH-24543,True,In Transit
SHP300098,MRK-1002,Oncavera,Ireland-Plant-02,Brazil,Latin America,2025-04-10,17331,BATCH-42096,False,Customs Hold
SHP300099,MRK-1001,Cardiozin,Ireland-Plant-02,UK,EMEA,2026-02-16,20261,BATCH-27268,False,In Transit
SHP300100,MRK-1006,Vaxishield,NJ-Plant-01,Germany,EMEA,2025-10-25,26538,BATCH-28883,True,Delayed
SHP300101,MRK-1003,Immunext,NJ-Plant-01,France,EMEA,2026-02-12,5892,BATCH-97073,True,Delivered
SHP300102,MRK-1005,Neuroplex,NJ-Plant-01,South Korea,APAC,2026-03-27,31594,BATCH-59260,False,Delivered
SHP300103,MRK-1004,Glucostat,Ireland-Plant-02,South Africa,EMEA,2025-10-18,41493,BATCH-51393,False,Delivered
SHP300104,MRK-1004,Glucostat,Singapore-Plant-03,South Africa,EMEA,2025-02-22,5670,BATCH-71029,False,Delayed
SHP300105,MRK-1001,Cardiozin,Ireland-Plant-02,France,EMEA,2024-12-19,45853,BATCH-86591,False,Delayed
SHP300106,MRK-1002,Oncavera,NJ-Plant-01,Brazil,Latin America,2024-05-14,7431,BATCH-85362,False,Delivered
SHP300107,MRK-1006,Vaxishield,Singapore-Plant-03,USA,North America,2026-04-04,28671,BATCH-63032,True,Delayed
SHP300108,MRK-1007,Pulmocare,Singapore-Plant-03,South Korea,APAC,2025-07-23,28546,BATCH-98403,False,Customs Hold
SHP300109,MRK-1003,Immunext,NJ-Plant-01,South Africa,EMEA,2025-01-23,4352,BATCH-75562,True,Delayed
SHP300110,MRK-1005,Neuroplex,Singapore-Plant-03,Argentina,Latin America,2024-01-25,34000,BATCH-40241,False,Customs Hold
SHP300111,MRK-1002,Oncavera,Ireland-Plant-02,Mexico,North America,2024-02-03,32658,BATCH-91226,False,In Transit
SHP300112,MRK-1002,Oncavera,Ireland-Plant-02,Argentina,Latin America,2024-02-14,3799,BATCH-84878,False,In Transit
SHP300113,MRK-1007,Pulmocare,NJ-Plant-01,UK,EMEA,2026-03-15,21867,BATCH-46516,False,Delayed
SHP300114,MRK-1007,Pulmocare,NJ-Plant-01,South Korea,APAC,2024-02-10,33541,BATCH-25370,False,In Transit
SHP300115,MRK-1007,Pulmocare,NJ-Plant-01,Australia,APAC,2025-03-18,12787,BATCH-11275,False,In Transit
SHP300116,MRK-1002,Oncavera,Ireland-Plant-02,UK,EMEA,2026-01-31,48135,BATCH-99957,False,In Transit
SHP300117,MRK-1001,Cardiozin,NJ-Plant-01,Australia,APAC,2024-01-02,14140,BATCH-10259,False,Delivered
SHP300118,MRK-1001,Cardiozin,NJ-Plant-01,Mexico,North America,2025-06-15,25200,BATCH-48232,False,Customs Hold
SHP300119,MRK-1008,Dermalyx,NJ-Plant-01,Germany,EMEA,2025-09-18,816,BATCH-77653,False,Delivered
SHP300120,MRK-1002,Oncavera,NJ-Plant-01,Japan,APAC,2025-02-19,673,BATCH-85975,False,Delivered
SHP300121,MRK-1007,Pulmocare,Ireland-Plant-02,UK,EMEA,2024-05-22,45425,BATCH-36416,False,Customs Hold
SHP300122,MRK-1008,Dermalyx,Singapore-Plant-03,Canada,North America,2024-01-10,36005,BATCH-54150,False,Delayed
SHP300123,MRK-1002,Oncavera,NJ-Plant-01,Argentina,Latin America,2024-09-21,25961,BATCH-15325,False,Delivered
SHP300124,MRK-1001,Cardiozin,NJ-Plant-01,India,APAC,2024-09-12,28979,BATCH-22685,False,In Transit
SHP300125,MRK-1008,Dermalyx,Ireland-Plant-02,USA,North America,2025-06-19,6081,BATCH-22119,False,Delayed
SHP300126,MRK-1005,Neuroplex,Ireland-Plant-02,India,APAC,2026-02-16,38073,BATCH-29671,False,Delivered
SHP300127,MRK-1004,Glucostat,NJ-Plant-01,Japan,APAC,2024-03-11,24290,BATCH-52459,False,In Transit
SHP300128,MRK-1005,Neuroplex,Ireland-Plant-02,Argentina,Latin America,2024-01-31,29760,BATCH-59160,False,Delayed
SHP300129,MRK-1005,Neuroplex,NJ-Plant-01,South Korea,APAC,2025-03-18,29441,BATCH-17034,False,Delivered
SHP300130,MRK-1001,Cardiozin,Singapore-Plant-03,France,EMEA,2026-06-21,42702,BATCH-12101,False,In Transit
SHP300131,MRK-1002,Oncavera,Singapore-Plant-03,UK,EMEA,2025-10-30,15081,BATCH-68554,False,Delayed
SHP300132,MRK-1001,Cardiozin,Singapore-Plant-03,South Africa,EMEA,2024-05-24,2707,BATCH-55436,False,Delivered
SHP300133,MRK-1008,Dermalyx,Ireland-Plant-02,Australia,APAC,2026-07-15,9409,BATCH-39805,False,Delayed
SHP300134,MRK-1004,Glucostat,Ireland-Plant-02,Argentina,Latin America,2024-06-12,15066,BATCH-69563,False,Delivered
SHP300135,MRK-1001,Cardiozin,NJ-Plant-01,Japan,APAC,2024-06-12,41116,BATCH-83402,False,In Transit
SHP300136,MRK-1006,Vaxishield,Ireland-Plant-02,Mexico,North America,2024-04-28,45498,BATCH-19102,True,In Transit
SHP300137,MRK-1006,Vaxishield,Ireland-Plant-02,Japan,APAC,2024-10-20,44118,BATCH-24997,True,Delivered
SHP300138,MRK-1001,Cardiozin,NJ-Plant-01,Chile,Latin America,2024-06-26,14856,BATCH-44668,False,Customs Hold
SHP300139,MRK-1007,Pulmocare,Singapore-Plant-03,USA,North America,2024-03-28,8874,BATCH-41759,False,In Transit
SHP300140,MRK-1008,Dermalyx,Singapore-Plant-03,USA,North America,2024-04-01,47909,BATCH-33039,False,In Transit
SHP300141,MRK-1003,Immunext,NJ-Plant-01,Brazil,Latin America,2024-12-25,6370,BATCH-13848,True,Delayed
SHP300142,MRK-1006,Vaxishield,Ireland-Plant-02,Canada,North America,2026-01-23,28640,BATCH-52611,True,In Transit
SHP300143,MRK-1005,Neuroplex,Ireland-Plant-02,South Korea,APAC,2026-01-12,3514,BATCH-95864,False,In Transit
SHP300144,MRK-1003,Immunext,Ireland-Plant-02,Argentina,Latin America,2024-08-12,42050,BATCH-60176,True,Delivered
SHP300145,MRK-1002,Oncavera,Ireland-Plant-02,Canada,North America,2024-08-30,948,BATCH-75433,False,In Transit
SHP300146,MRK-1005,Neuroplex,Ireland-Plant-02,Brazil,Latin America,2024-09-22,15892,BATCH-83181,False,Customs Hold
SHP300147,MRK-1002,Oncavera,NJ-Plant-01,Argentina,Latin America,2025-07-01,11580,BATCH-51661,False,Delivered
SHP300148,MRK-1003,Immunext,Ireland-Plant-02,Chile,Latin America,2024-07-06,26336,BATCH-10497,True,Customs Hold
SHP300149,MRK-1007,Pulmocare,NJ-Plant-01,Argentina,Latin America,2025-12-16,26726,BATCH-27042,False,Delayed
SHP300150,MRK-1002,Oncavera,Ireland-Plant-02,Argentina,Latin America,2026-05-22,36268,BATCH-76930,False,Delayed
SHP300151,MRK-1005,Neuroplex,Singapore-Plant-03,Argentina,Latin America,2026-04-29,5776,BATCH-30924,False,Delivered
SHP300152,MRK-1004,Glucostat,NJ-Plant-01,Japan,APAC,2024-02-07,27552,BATCH-76880,False,Delayed
SHP300153,MRK-1008,Dermalyx,Ireland-Plant-02,India,APAC,2024-05-08,15920,BATCH-45635,False,In Transit
SHP300154,MRK-1005,Neuroplex,Singapore-Plant-03,Canada,North America,2026-01-13,27977,BATCH-59598,False,In Transit
SHP300155,MRK-1002,Oncavera,Ireland-Plant-02,Germany,EMEA,2024-12-10,42259,BATCH-43132,False,Delayed
SHP300156,MRK-1003,Immunext,NJ-Plant-01,Australia,APAC,2025-08-11,11776,BATCH-62385,True,Delayed
SHP300157,MRK-1005,Neuroplex,Singapore-Plant-03,USA,North America,2024-04-13,44447,BATCH-90276,False,Customs Hold
SHP300158,MRK-1004,Glucostat,NJ-Plant-01,Mexico,North America,2024-05-30,30882,BATCH-10330,False,Customs Hold
SHP300159,MRK-1004,Glucostat,Singapore-Plant-03,India,APAC,2024-12-11,44878,BATCH-47683,False,In Transit
SHP300160,MRK-1002,Oncavera,Ireland-Plant-02,South Korea,APAC,2025-07-03,2020,BATCH-63104,False,Delayed
SHP300161,MRK-1001,Cardiozin,NJ-Plant-01,Japan,APAC,2026-04-16,7103,BATCH-33821,False,Delivered
SHP300162,MRK-1003,Immunext,Singapore-Plant-03,Australia,APAC,2024-07-19,43525,BATCH-46564,True,Delivered
SHP300163,MRK-1003,Immunext,Ireland-Plant-02,Germany,EMEA,2024-05-01,46914,BATCH-16679,True,Delayed
SHP300164,MRK-1007,Pulmocare,NJ-Plant-01,USA,North America,2025-05-23,9824,BATCH-94129,False,Customs Hold
SHP300165,MRK-1001,Cardiozin,Singapore-Plant-03,USA,North America,2024-06-16,4594,BATCH-36429,False,Delivered
SHP300166,MRK-1008,Dermalyx,NJ-Plant-01,USA,North America,2024-04-01,18589,BATCH-11730,False,In Transit
SHP300167,MRK-1005,Neuroplex,Singapore-Plant-03,Brazil,Latin America,2024-09-03,7508,BATCH-75061,False,Delivered
SHP300168,MRK-1008,Dermalyx,NJ-Plant-01,Brazil,Latin America,2026-03-10,49600,BATCH-92620,False,Customs Hold
SHP300169,MRK-1003,Immunext,Ireland-Plant-02,Japan,APAC,2026-01-09,33748,BATCH-22913,True,Delayed
SHP300170,MRK-1008,Dermalyx,Singapore-Plant-03,Australia,APAC,2026-08-01,1117,BATCH-25791,False,Delivered
SHP300171,MRK-1004,Glucostat,Singapore-Plant-03,Argentina,Latin America,2024-08-16,22631,BATCH-31711,False,Delivered
SHP300172,MRK-1001,Cardiozin,Singapore-Plant-03,Brazil,Latin America,2025-07-25,35134,BATCH-68148,False,Delivered
SHP300173,MRK-1008,Dermalyx,Singapore-Plant-03,South Africa,EMEA,2025-09-05,4185,BATCH-39713,False,Customs Hold
SHP300174,MRK-1002,Oncavera,Singapore-Plant-03,Brazil,Latin America,2025-03-12,2301,BATCH-77106,False,Delivered
SHP300175,MRK-1008,Dermalyx,Singapore-Plant-03,UK,EMEA,2026-07-04,13790,BATCH-88082,False,Customs Hold
SHP300176,MRK-1005,Neuroplex,Singapore-Plant-03,Argentina,Latin America,2026-03-04,8404,BATCH-35947,False,Customs Hold
SHP300177,MRK-1006,Vaxishield,Singapore-Plant-03,Germany,EMEA,2025-04-03,27974,BATCH-23899,True,Delivered
SHP300178,MRK-1003,Immunext,Singapore-Plant-03,Japan,APAC,2025-11-20,47869,BATCH-81963,True,Delayed
SHP300179,MRK-1006,Vaxishield,NJ-Plant-01,Chile,Latin America,2024-02-02,1465,BATCH-95371,True,Delayed
SHP300180,MRK-1005,Neuroplex,NJ-Plant-01,UK,EMEA,2024-08-06,26403,BATCH-31268,False,Delivered
SHP300181,MRK-1007,Pulmocare,Ireland-Plant-02,Canada,North America,2025-09-08,44336,BATCH-82284,False,Delayed
SHP300182,MRK-1008,Dermalyx,NJ-Plant-01,South Korea,APAC,2025-11-13,31443,BATCH-60978,False,Customs Hold
SHP300183,MRK-1006,Vaxishield,NJ-Plant-01,Canada,North America,2025-09-26,45725,BATCH-42231,True,Delayed
SHP300184,MRK-1003,Immunext,NJ-Plant-01,Canada,North America,2024-02-26,48721,BATCH-63290,True,Delayed
SHP300185,MRK-1003,Immunext,NJ-Plant-01,Brazil,Latin America,2024-01-05,31979,BATCH-38519,True,In Transit
SHP300186,MRK-1006,Vaxishield,NJ-Plant-01,Mexico,North America,2025-06-19,17410,BATCH-46971,True,In Transit
SHP300187,MRK-1002,Oncavera,Ireland-Plant-02,UK,EMEA,2024-10-22,36009,BATCH-75980,False,Delivered
SHP300188,MRK-1004,Glucostat,Singapore-Plant-03,USA,North America,2024-11-04,7521,BATCH-65716,False,Delivered
SHP300189,MRK-1001,Cardiozin,NJ-Plant-01,India,APAC,2024-02-17,10157,BATCH-58273,False,Delivered
SHP300190,MRK-1007,Pulmocare,Singapore-Plant-03,Chile,Latin America,2025-01-08,47312,BATCH-60873,False,Delayed
SHP300191,MRK-1007,Pulmocare,Ireland-Plant-02,UK,EMEA,2025-11-14,40769,BATCH-40496,False,Delayed
SHP300192,MRK-1002,Oncavera,NJ-Plant-01,USA,North America,2024-11-29,1619,BATCH-46193,False,Customs Hold
SHP300193,MRK-1007,Pulmocare,Singapore-Plant-03,India,APAC,2025-05-17,33632,BATCH-65638,False,Delivered
SHP300194,MRK-1006,Vaxishield,Ireland-Plant-02,Brazil,Latin America,2025-07-19,22583,BATCH-24570,True,In Transit
SHP300195,MRK-1002,Oncavera,NJ-Plant-01,Argentina,Latin America,2024-12-03,6954,BATCH-40698,False,Delayed
SHP300196,MRK-1008,Dermalyx,NJ-Plant-01,Canada,North America,2025-01-05,17512,BATCH-59332,False,Delivered
SHP300197,MRK-1008,Dermalyx,NJ-Plant-01,UK,EMEA,2026-01-21,25623,BATCH-30120,False,Delayed
SHP300198,MRK-1005,Neuroplex,Ireland-Plant-02,Chile,Latin America,2026-05-12,24735,BATCH-65423,False,Customs Hold
SHP300199,MRK-1008,Dermalyx,Ireland-Plant-02,Germany,EMEA,2025-01-01,4737,BATCH-23336,False,Delivered
SHP300200,MRK-1008,Dermalyx,Ireland-Plant-02,Germany,EMEA,2026-04-26,33270,BATCH-26056,False,Delayed
SHP300201,MRK-1007,Pulmocare,NJ-Plant-01,South Korea,APAC,2025-06-28,42522,BATCH-73065,False,Delivered
SHP300202,MRK-1004,Glucostat,NJ-Plant-01,Canada,North America,2024-11-21,20612,BATCH-79478,False,Delivered
SHP300203,MRK-1003,Immunext,Ireland-Plant-02,Argentina,Latin America,2026-04-21,5277,BATCH-75962,True,Delayed
SHP300204,MRK-1008,Dermalyx,Singapore-Plant-03,South Africa,EMEA,2024-02-21,11116,BATCH-32643,False,Delayed
SHP300205,MRK-1005,Neuroplex,NJ-Plant-01,Chile,Latin America,2025-06-24,26899,BATCH-69096,False,In Transit
SHP300206,MRK-1005,Neuroplex,Ireland-Plant-02,Canada,North America,2025-03-02,28589,BATCH-27839,False,Delivered
SHP300207,MRK-1008,Dermalyx,Ireland-Plant-02,Chile,Latin America,2024-07-30,9925,BATCH-18860,False,In Transit
SHP300208,MRK-1006,Vaxishield,Singapore-Plant-03,South Africa,EMEA,2025-05-02,27865,BATCH-28135,True,Delayed
SHP300209,MRK-1003,Immunext,Ireland-Plant-02,South Africa,EMEA,2026-01-09,33526,BATCH-89610,True,Delivered
SHP300210,MRK-1007,Pulmocare,Ireland-Plant-02,Canada,North America,2025-06-13,34796,BATCH-87505,False,In Transit
SHP300211,MRK-1003,Immunext,NJ-Plant-01,Mexico,North America,2024-12-08,24782,BATCH-44040,True,Delivered
SHP300212,MRK-1006,Vaxishield,NJ-Plant-01,Mexico,North America,2025-06-21,40082,BATCH-72162,True,In Transit
SHP300213,MRK-1007,Pulmocare,Ireland-Plant-02,Canada,North America,2025-09-02,29950,BATCH-43734,False,Delivered
SHP300214,MRK-1006,Vaxishield,NJ-Plant-01,France,EMEA,2025-02-25,30006,BATCH-72087,True,Customs Hold
SHP300215,MRK-1008,Dermalyx,Ireland-Plant-02,Australia,APAC,2024-09-17,10906,BATCH-20089,False,Delivered
SHP300216,MRK-1004,Glucostat,Ireland-Plant-02,India,APAC,2026-05-15,12357,BATCH-37532,False,Customs Hold
