sales_month,drug_code,drug_name,region,units_sold,revenue_usd
2024-01-01,MRK-1007,Pulmocare,Latin America,49571,680577.01
2024-01-01,MRK-1008,Dermalyx,North America,20099,859065.74
2024-01-01,MRK-1008,Dermalyx,EMEA,28707,1269181.35
2024-01-01,MRK-1008,Dermalyx,APAC,42819,6416047.8
2024-01-01,MRK-1008,Dermalyx,Latin America,27267,5156869.66
2024-03-01,MRK-1001,Cardiozin,North America,18401,3369375.46
2024-03-01,MRK-1001,Cardiozin,EMEA,41757,8503763.32
2024-03-01,MRK-1001,Cardiozin,APAC,15572,2513296.22
2024-03-01,MRK-1001,Cardiozin,Latin America,11389,2159399.44
2024-03-01,MRK-1002,Oncavera,North America,44307,9487125.77
2024-03-01,MRK-1002,Oncavera,EMEA,54023,6714255.91
2024-03-01,MRK-1002,Oncavera,APAC,34296,446648.2
2024-03-01,MRK-1002,Oncavera,Latin America,22873,4725078.75
2024-03-01,MRK-1003,Immunext,North America,47063,7623269.65
2024-03-01,MRK-1003,Immunext,EMEA,62030,6865694.91
2024-03-01,MRK-1003,Immunext,APAC,22542,648435.17
2024-03-01,MRK-1003,Immunext,Latin America,38908,1949197.36
2024-03-01,MRK-1004,Glucostat,North America,11040,1989450.09
2024-03-01,MRK-1004,Glucostat,EMEA,17380,2455288.42
2024-03-01,MRK-1004,Glucostat,APAC,41858,4385502.85
2024-03-01,MRK-1004,Glucostat,Latin America,42684,6013837.93
2024-03-01,MRK-1005,Neuroplex,North America,52890,7440625.59
2024-03-01,MRK-1005,Neuroplex,EMEA,46707,5658329.83
2024-03-01,MRK-1005,Neuroplex,APAC,35120,2563210.86
2024-03-01,MRK-1005,Neuroplex,Latin America,24707,4836725.14
2024-03-01,MRK-1006,Vaxishield,North America,14126,861754.25
2024-03-01,MRK-1006,Vaxishield,EMEA,42721,8742874.45
2024-03-01,MRK-1006,Vaxishield,APAC,42929,9365129.54
2024-03-01,MRK-1006,Vaxishield,Latin America,42212,9240289.7
2024-03-01,MRK-1007,Pulmocare,North America,62697,5033628.47
2024-03-01,MRK-1007,Pulmocare,EMEA,21471,3363194.52
2024-03-01,MRK-1007,Pulmocare,APAC,12109,2633431.51
2024-03-01,MRK-1007,Pulmocare,Latin America,26197,2367957.17
2024-03-01,MRK-1008,Dermalyx,North America,45929,811142.67
2024-03-01,MRK-1008,Dermalyx,EMEA,24608,4602427.66
2024-03-01,MRK-1008,Dermalyx,APAC,62852,4605671.43
2024-03-01,MRK-1008,Dermalyx,Latin America,38436,6207549.44
2024-03-01,MRK-1001,Cardiozin,North America,38940,1429733.37
2024-03-01,MRK-1001,Cardiozin,EMEA,37692,3663459.55
2024-03-01,MRK-1001,Cardiozin,APAC,19725,3130203.78
2024-03-01,MRK-1001,Cardiozin,Latin America,26887,5175875.64
2024-03-01,MRK-1002,Oncavera,North America,35733,638561.47
2024-03-01,MRK-1002,Oncavera,EMEA,50245,3239959.58
2024-03-01,MRK-1002,Oncavera,APAC,26360,5622653.51
2024-03-01,MRK-1002,Oncavera,Latin America,9694,381114.68
2024-03-01,MRK-1003,Immunext,North America,47184,9632663.56
2024-03-01,MRK-1003,Immunext,EMEA,11299,636601.52
2024-03-01,MRK-1003,Immunext,APAC,54829,2668103.22
2024-03-01,MRK-1003,Immunext,Latin America,60358,9706679.51
2024-03-01,MRK-1004,Glucostat,North America,14895,1842128.81
2024-03-01,MRK-1004,Glucostat,EMEA,20700,1472347.8
2024-03-01,MRK-1004,Glucostat,APAC,32778,3245707.72
2024-03-01,MRK-1004,Glucostat,Latin America,17637,688763.07
2024-03-01,MRK-1005,Neuroplex,North America,40695,6401076.45
2024-03-01,MRK-1005,Neuroplex,EMEA,21520,2754149.78
2024-03-01,MRK-1005,Neuroplex,APAC,61437,10934116.74
2024-03-01,MRK-1005,Neuroplex,Latin America,42289,1189819.9
2024-03-01,MRK-1006,Vaxishield,North America,31216,2625799.53
2024-03-01,MRK-1006,Vaxishield,EMEA,35198,4182531.97
2024-03-01,MRK-1006,Vaxishield,APAC,32083,3274575.4
2024-03-01,MRK-1006,Vaxishield,Latin America,31144,891347.93
2024-03-01,MRK-1007,Pulmocare,North America,22717,3242251.63
2024-03-01,MRK-1007,Pulmocare,EMEA,45813,2227074.48
2024-03-01,MRK-1007,Pulmocare,APAC,18326,3707221.55
2024-03-01,MRK-1007,Pulmocare,Latin America,46711,4264478.5
2024-03-01,MRK-1008,Dermalyx,North America,31458,5835763.21
2024-03-01,MRK-1008,Dermalyx,EMEA,37090,4991611.01
2024-03-01,MRK-1008,Dermalyx,APAC,48308,8228079.79
2024-03-01,MRK-1008,Dermalyx,Latin America,39420,7775072.81
2024-04-01,MRK-1001,Cardiozin,North America,53789,11723360.0
2024-04-01,MRK-1001,Cardiozin,EMEA,11138,894319.27
2024-04-01,MRK-1001,Cardiozin,APAC,12437,1882073.28
2024-04-01,MRK-1001,Cardiozin,Latin America,22839,4143318.65
2024-04-01,MRK-1002,Oncavera,North America,42180,1306041.95
2024-04-01,MRK-1002,Oncavera,EMEA,22180,1233174.76
2024-04-01,MRK-1002,Oncavera,APAC,8920,492927.35
2024-04-01,MRK-1002,Oncavera,Latin America,35317,4265392.73
2024-04-01,MRK-1003,Immunext,North America,20373,3582200.7
2024-04-01,MRK-1003,Immunext,EMEA,70367,7877605.12
2024-04-01,MRK-1003,Immunext,APAC,38021,7927612.08
2024-04-01,MRK-1003,Immunext,Latin America,68309,5621026.4
2024-04-01,MRK-1004,Glucostat,North America,46203,5001744.23
2024-04-01,MRK-1004,Glucostat,EMEA,10421,1690849.43
2024-04-01,MRK-1004,Glucostat,APAC,40210,8795527.52
2024-04-01,MRK-1004,Glucostat,Latin America,48639,2875115.13
2024-04-01,MRK-1005,Neuroplex,North America,13456,2838816.41
2024-04-01,MRK-1005,Neuroplex,EMEA,18543,2790616.19
2024-04-01,MRK-1005,Neuroplex,APAC,22601,1521491.1
2024-04-01,MRK-1005,Neuroplex,Latin America,65231,11050334.13
2024-04-01,MRK-1006,Vaxishield,North America,67222,5956060.57
2024-04-01,MRK-1006,Vaxishield,EMEA,36147,1738118.59
2024-04-01,MRK-1006,Vaxishield,APAC,20420,3892581.0
2024-04-01,MRK-1006,Vaxishield,Latin America,45486,5273592.3
2024-04-01,MRK-1007,Pulmocare,North America,12079,285480.05
2024-04-01,MRK-1007,Pulmocare,EMEA,31363,3838644.03
2024-04-01,MRK-1007,Pulmocare,APAC,44971,2581847.84
2024-04-01,MRK-1007,Pulmocare,Latin America,72778,7871282.2
2024-04-01,MRK-1008,Dermalyx,North America,60796,11161060.27
2024-04-01,MRK-1008,Dermalyx,EMEA,30079,5465037.26
2024-04-01,MRK-1008,Dermalyx,APAC,11320,870868.79
2024-04-01,MRK-1008,Dermalyx,Latin America,24230,501217.76
2024-05-01,MRK-1001,Cardiozin,North America,21432,1733034.7
2024-05-01,MRK-1001,Cardiozin,EMEA,37045,4460631.89
2024-05-01,MRK-1001,Cardiozin,APAC,64214,9905529.5
2024-05-01,MRK-1001,Cardiozin,Latin America,47851,9456008.23
2024-05-01,MRK-1002,Oncavera,North America,64564,1294180.43
2024-05-01,MRK-1002,Oncavera,EMEA,34641,3850299.8
2024-05-01,MRK-1002,Oncavera,APAC,14222,1234675.87
2024-05-01,MRK-1002,Oncavera,Latin America,56939,9972476.67
2024-05-01,MRK-1003,Immunext,North America,52468,5652315.88
2024-05-01,MRK-1003,Immunext,EMEA,66998,14551354.98
2024-05-01,MRK-1003,Immunext,APAC,50918,718611.56
2024-05-01,MRK-1003,Immunext,Latin America,33365,3973739.72
2024-05-01,MRK-1004,Glucostat,North America,31891,5332003.1
2024-05-01,MRK-1004,Glucostat,EMEA,62166,3697567.27
2024-05-01,MRK-1004,Glucostat,APAC,19902,2820287.2
2024-05-01,MRK-1004,Glucostat,Latin America,51709,2374024.29
2024-05-01,MRK-1005,Neuroplex,North America,33513,2857581.44
2024-05-01,MRK-1005,Neuroplex,EMEA,58715,6050127.53
2024-05-01,MRK-1005,Neuroplex,APAC,34015,6713298.06
2024-05-01,MRK-1005,Neuroplex,Latin America,49670,3300484.13
2024-05-01,MRK-1006,Vaxishield,North America,49332,7543738.29
2024-05-01,MRK-1006,Vaxishield,EMEA,19232,1917875.2
2024-05-01,MRK-1006,Vaxishield,APAC,33598,571103.0
2024-05-01,MRK-1006,Vaxishield,Latin America,33081,1816690.36
2024-05-01,MRK-1007,Pulmocare,North America,53801,1173791.64
2024-05-01,MRK-1007,Pulmocare,EMEA,29726,3917633.86
2024-05-01,MRK-1007,Pulmocare,APAC,15029,934734.17
2024-05-01,MRK-1007,Pulmocare,Latin America,51458,1592749.7
2024-05-01,MRK-1008,Dermalyx,North America,20947,2622873.66
2024-05-01,MRK-1008,Dermalyx,EMEA,36923,4664945.88
2024-05-01,MRK-1008,Dermalyx,APAC,42433,7349931.2
2024-05-01,MRK-1008,Dermalyx,Latin America,42297,6434261.02
2024-06-01,MRK-1001,Cardiozin,North America,41329,7533068.77
2024-06-01,MRK-1001,Cardiozin,EMEA,27397,5102490.71
2024-06-01,MRK-1001,Cardiozin,APAC,35702,3832392.41
2024-06-01,MRK-1001,Cardiozin,Latin America,51638,5451380.86
2024-06-01,MRK-1002,Oncavera,North America,59731,6441864.03
2024-06-01,MRK-1002,Oncavera,EMEA,43178,3803523.23
2024-06-01,MRK-1002,Oncavera,APAC,54349,4813305.29
2024-06-01,MRK-1002,Oncavera,Latin America,55632,8394838.87
2024-06-01,MRK-1003,Immunext,North America,43232,3581785.6
2024-06-01,MRK-1003,Immunext,EMEA,49255,4390469.54
2024-06-01,MRK-1003,Immunext,APAC,33324,2647115.6
2024-06-01,MRK-1003,Immunext,Latin America,63215,9031671.84
2024-06-01,MRK-1004,Glucostat,North America,55319,7930564.04
2024-06-01,MRK-1004,Glucostat,EMEA,31007,3686756.59
2024-06-01,MRK-1004,Glucostat,APAC,33923,6740319.81
2024-06-01,MRK-1004,Glucostat,Latin America,56723,4750812.29
2024-06-01,MRK-1005,Neuroplex,North America,29176,1144987.13
2024-06-01,MRK-1005,Neuroplex,EMEA,40389,1689461.09
2024-06-01,MRK-1005,Neuroplex,APAC,48534,9609624.03
2024-06-01,MRK-1005,Neuroplex,Latin America,62004,13338022.77
2024-06-01,MRK-1006,Vaxishield,North America,59184,1624933.96
2024-06-01,MRK-1006,Vaxishield,EMEA,17039,3300838.91
2024-06-01,MRK-1006,Vaxishield,APAC,64174,3239156.97
2024-06-01,MRK-1006,Vaxishield,Latin America,34833,3978507.33
2024-06-01,MRK-1007,Pulmocare,North America,35070,1507275.5
2024-06-01,MRK-1007,Pulmocare,EMEA,13235,2332196.7
2024-06-01,MRK-1007,Pulmocare,APAC,46680,6683661.63
2024-06-01,MRK-1007,Pulmocare,Latin America,30967,3355327.59
2024-06-01,MRK-1008,Dermalyx,North America,54618,9455409.21
2024-06-01,MRK-1008,Dermalyx,EMEA,11912,610120.64
2024-06-01,MRK-1008,Dermalyx,APAC,64263,12243036.71
2024-06-01,MRK-1008,Dermalyx,Latin America,14384,2523542.94
2024-07-01,MRK-1001,Cardiozin,North America,33216,6464999.24
2024-07-01,MRK-1001,Cardiozin,EMEA,61284,9686792.92
2024-07-01,MRK-1001,Cardiozin,APAC,69944,7189800.06
2024-07-01,MRK-1001,Cardiozin,Latin America,64875,1076069.61
2024-07-01,MRK-1002,Oncavera,North America,21031,3739755.96
2024-07-01,MRK-1002,Oncavera,EMEA,45036,8982208.29
2024-07-01,MRK-1002,Oncavera,APAC,57168,2645239.03
2024-07-01,MRK-1002,Oncavera,Latin America,33261,4432456.44
2024-07-01,MRK-1003,Immunext,North America,9864,697593.22
2024-07-01,MRK-1003,Immunext,EMEA,60955,12308302.83
2024-07-01,MRK-1003,Immunext,APAC,51970,3181951.61
2024-07-01,MRK-1003,Immunext,Latin America,29013,2802085.69
2024-07-01,MRK-1004,Glucostat,North America,47852,1439759.62
2024-07-01,MRK-1004,Glucostat,EMEA,20508,1116062.64
2024-07-01,MRK-1004,Glucostat,APAC,61120,13159012.64
2024-07-01,MRK-1004,Glucostat,Latin America,44216,7060892.28
2024-07-01,MRK-1005,Neuroplex,North America,24522,1387516.74
2024-07-01,MRK-1005,Neuroplex,EMEA,61404,6259542.88
2024-07-01,MRK-1005,Neuroplex,APAC,40187,4055830.59
2024-07-01,MRK-1005,Neuroplex,Latin America,22874,2622785.77
2024-07-01,MRK-1006,Vaxishield,North America,17900,646596.39
2024-07-01,MRK-1006,Vaxishield,EMEA,9986,1725986.2
2024-07-01,MRK-1006,Vaxishield,APAC,64601,10285246.82
2024-07-01,MRK-1006,Vaxishield,Latin America,26394,533215.91
2024-07-01,MRK-1007,Pulmocare,North America,30538,3926593.11
2024-07-01,MRK-1007,Pulmocare,EMEA,44396,9312678.11
2024-07-01,MRK-1007,Pulmocare,APAC,44016,6430859.61
2024-07-01,MRK-1007,Pulmocare,Latin America,56803,5169527.33
2024-07-01,MRK-1008,Dermalyx,North America,35827,1605727.57
2024-07-01,MRK-1008,Dermalyx,EMEA,46865,1612156.86
2024-07-01,MRK-1008,Dermalyx,APAC,55542,1083561.77
2024-07-01,MRK-1008,Dermalyx,Latin America,54182,3095271.3
2024-08-01,MRK-1001,Cardiozin,North America,50367,8221329.44
2024-08-01,MRK-1001,Cardiozin,EMEA,17819,1853031.34
2024-08-01,MRK-1001,Cardiozin,APAC,61522,6254076.23
2024-08-01,MRK-1001,Cardiozin,Latin America,44954,5112333.84
2024-08-01,MRK-1002,Oncavera,North America,74473,14525151.49
2024-08-01,MRK-1002,Oncavera,EMEA,54152,1608088.95
2024-08-01,MRK-1002,Oncavera,APAC,29292,4560254.45
2024-08-01,MRK-1002,Oncavera,Latin America,18697,2629231.51
2024-08-01,MRK-1003,Immunext,North America,79550,13575013.21
2024-08-01,MRK-1003,Immunext,EMEA,32331,5856217.94
2024-08-01,MRK-1003,Immunext,APAC,24160,3919061.45
2024-08-01,MRK-1003,Immunext,Latin America,12242,2090885.01
2024-08-01,MRK-1004,Glucostat,North America,35193,7396110.26
2024-08-01,MRK-1004,Glucostat,EMEA,35439,3593880.49
2024-08-01,MRK-1004,Glucostat,APAC,17593,1148280.56
2024-08-01,MRK-1004,Glucostat,Latin America,69850,6516644.04
2024-08-01,MRK-1005,Neuroplex,North America,56567,6513902.14
2024-08-01,MRK-1005,Neuroplex,EMEA,61310,2693175.9
2024-08-01,MRK-1005,Neuroplex,APAC,64101,6892133.13
2024-08-01,MRK-1005,Neuroplex,Latin America,35685,6038892.22
2024-08-01,MRK-1006,Vaxishield,North America,36697,639565.46
2024-08-01,MRK-1006,Vaxishield,EMEA,43832,9275449.64
2024-08-01,MRK-1006,Vaxishield,APAC,15503,485352.07
2024-08-01,MRK-1006,Vaxishield,Latin America,70570,11772872.85
2024-08-01,MRK-1007,Pulmocare,North America,36814,6342057.82
2024-08-01,MRK-1007,Pulmocare,EMEA,46213,9941487.46
2024-08-01,MRK-1007,Pulmocare,APAC,27548,4683599.89
2024-08-01,MRK-1007,Pulmocare,Latin America,39878,7609537.53
2024-08-01,MRK-1008,Dermalyx,North America,38799,3685089.26
2024-08-01,MRK-1008,Dermalyx,EMEA,10445,875677.01
2024-08-01,MRK-1008,Dermalyx,APAC,42165,8522029.43
2024-08-01,MRK-1008,Dermalyx,Latin America,44801,4239085.3
2024-09-01,MRK-1001,Cardiozin,North America,68667,2779665.03
2024-09-01,MRK-1001,Cardiozin,EMEA,29197,4540849.75
2024-09-01,MRK-1001,Cardiozin,APAC,42427,1463042.05
2024-09-01,MRK-1001,Cardiozin,Latin America,54042,9852330.98
2024-09-01,MRK-1002,Oncavera,North America,60502,6961317.9
2024-09-01,MRK-1002,Oncavera,EMEA,35406,5255687.42
2024-09-01,MRK-1002,Oncavera,APAC,25880,1654420.71
2024-09-01,MRK-1002,Oncavera,Latin America,24541,4604653.5
2024-09-01,MRK-1003,Immunext,North America,45750,3762032.1
2024-09-01,MRK-1003,Immunext,EMEA,49218,3591719.89
2024-09-01,MRK-1003,Immunext,APAC,58790,9185691.93
2024-09-01,MRK-1003,Immunext,Latin America,60139,11670363.06
2024-09-01,MRK-1004,Glucostat,North America,42274,3453413.11
2024-09-01,MRK-1004,Glucostat,EMEA,59490,6812830.57
2024-09-01,MRK-1004,Glucostat,APAC,31715,6405590.05
2024-09-01,MRK-1004,Glucostat,Latin America,23061,3566764.67
2024-09-01,MRK-1005,Neuroplex,North America,37087,6174260.84
2024-09-01,MRK-1005,Neuroplex,EMEA,17841,999223.96
2024-09-01,MRK-1005,Neuroplex,APAC,59966,12628935.16
2024-09-01,MRK-1005,Neuroplex,Latin America,29031,5899746.15
2024-09-01,MRK-1006,Vaxishield,North America,22953,3991145.28
2024-09-01,MRK-1006,Vaxishield,EMEA,45187,5642658.1
2024-09-01,MRK-1006,Vaxishield,APAC,59764,9548518.97
2024-09-01,MRK-1006,Vaxishield,Latin America,49439,9243465.46
2024-09-01,MRK-1007,Pulmocare,North America,26156,3207586.89
2024-09-01,MRK-1007,Pulmocare,EMEA,55817,3402616.53
2024-09-01,MRK-1007,Pulmocare,APAC,35799,4293281.73
2024-09-01,MRK-1007,Pulmocare,Latin America,30616,3661374.09
2024-09-01,MRK-1008,Dermalyx,North America,70992,4776042.27
2024-09-01,MRK-1008,Dermalyx,EMEA,47162,8087272.68
2024-09-01,MRK-1008,Dermalyx,APAC,36909,2193164.88
2024-09-01,MRK-1008,Dermalyx,Latin America,36659,7228215.54
2024-10-01,MRK-1001,Cardiozin,North America,49992,4755451.86
2024-10-01,MRK-1001,Cardiozin,EMEA,34541,4102925.14
2024-10-01,MRK-1001,Cardiozin,APAC,15571,546057.74
2024-10-01,MRK-1001,Cardiozin,Latin America,32944,5872091.42
2024-10-01,MRK-1002,Oncavera,North America,23405,2929426.6
2024-10-01,MRK-1002,Oncavera,EMEA,71781,4059113.92
2024-10-01,MRK-1002,Oncavera,APAC,14890,403814.79
2024-10-01,MRK-1002,Oncavera,Latin America,19718,654860.71
2024-10-01,MRK-1003,Immunext,North America,11995,2288976.01
2024-10-01,MRK-1003,Immunext,EMEA,17894,547194.94
2024-10-01,MRK-1003,Immunext,APAC,43678,7324419.38
2024-10-01,MRK-1003,Immunext,Latin America,31604,2625425.96
2024-10-01,MRK-1004,Glucostat,North America,33759,3066986.21
2024-10-01,MRK-1004,Glucostat,EMEA,29457,1428475.63
2024-10-01,MRK-1004,Glucostat,APAC,29002,2638983.88
2024-10-01,MRK-1004,Glucostat,Latin America,78611,16819532.22
2024-10-01,MRK-1005,Neuroplex,North America,57874,6136497.19
2024-10-01,MRK-1005,Neuroplex,EMEA,13889,739841.42
2024-10-01,MRK-1005,Neuroplex,APAC,72108,4955244.18
2024-10-01,MRK-1005,Neuroplex,Latin America,34496,7530857.17
2024-10-01,MRK-1006,Vaxishield,North America,42651,6496172.69
2024-10-01,MRK-1006,Vaxishield,EMEA,13279,183838.13
2024-10-01,MRK-1006,Vaxishield,APAC,19388,606551.51
2024-10-01,MRK-1006,Vaxishield,Latin America,70570,15223285.92
2024-10-01,MRK-1007,Pulmocare,North America,65192,2814068.09
2024-10-01,MRK-1007,Pulmocare,EMEA,47904,4325381.95
2024-10-01,MRK-1007,Pulmocare,APAC,32381,5015613.41
2024-10-01,MRK-1007,Pulmocare,Latin America,66332,12623379.95
2024-10-01,MRK-1008,Dermalyx,North America,52418,8738021.92
2024-10-01,MRK-1008,Dermalyx,EMEA,45353,8070622.79
2024-10-01,MRK-1008,Dermalyx,APAC,36520,5437426.33
2024-10-01,MRK-1008,Dermalyx,Latin America,63422,5046334.68
2024-11-01,MRK-1001,Cardiozin,North America,49966,822791.3
2024-11-01,MRK-1001,Cardiozin,EMEA,28399,1868559.16
2024-11-01,MRK-1001,Cardiozin,APAC,65192,8560103.39
2024-11-01,MRK-1001,Cardiozin,Latin America,38826,733595.3
2024-11-01,MRK-1002,Oncavera,North America,22753,2222229.94
2024-11-01,MRK-1002,Oncavera,EMEA,33413,6350994.94
2024-11-01,MRK-1002,Oncavera,APAC,12584,780635.87
2024-11-01,MRK-1002,Oncavera,Latin America,67987,4377719.42
2024-11-01,MRK-1003,Immunext,North America,66878,14173537.89
2024-11-01,MRK-1003,Immunext,EMEA,14119,215228.8
2024-11-01,MRK-1003,Immunext,APAC,49188,10084235.09
2024-11-01,MRK-1003,Immunext,Latin America,61486,8109483.09
2024-11-01,MRK-1004,Glucostat,North America,22669,1709587.93
2024-11-01,MRK-1004,Glucostat,EMEA,35730,2324496.35
2024-11-01,MRK-1004,Glucostat,APAC,43569,4399219.79
2024-11-01,MRK-1004,Glucostat,Latin America,20432,3795117.84
2024-11-01,MRK-1005,Neuroplex,North America,82722,12980194.05
2024-11-01,MRK-1005,Neuroplex,EMEA,74846,15986415.87
2024-11-01,MRK-1005,Neuroplex,APAC,23053,2552597.31
2024-11-01,MRK-1005,Neuroplex,Latin America,9674,2062338.65
2024-11-01,MRK-1006,Vaxishield,North America,63217,12448102.12
2024-11-01,MRK-1006,Vaxishield,EMEA,77644,14890839.0
2024-11-01,MRK-1006,Vaxishield,APAC,49169,2683461.27
2024-11-01,MRK-1006,Vaxishield,Latin America,54710,8192872.34
2024-11-01,MRK-1007,Pulmocare,North America,67594,5295059.9
2024-11-01,MRK-1007,Pulmocare,EMEA,32591,4961159.84
2024-11-01,MRK-1007,Pulmocare,APAC,75525,4250138.07
2024-11-01,MRK-1007,Pulmocare,Latin America,21609,2158588.29
2024-11-01,MRK-1008,Dermalyx,North America,59133,8163677.28
2024-11-01,MRK-1008,Dermalyx,EMEA,71321,15031210.66
2024-11-01,MRK-1008,Dermalyx,APAC,16018,493730.27
2024-11-01,MRK-1008,Dermalyx,Latin America,47919,10202855.7
2024-12-01,MRK-1001,Cardiozin,North America,52067,8336831.81
2024-12-01,MRK-1001,Cardiozin,EMEA,53415,4394500.38
2024-12-01,MRK-1001,Cardiozin,APAC,14045,2323530.71
2024-12-01,MRK-1001,Cardiozin,Latin America,26566,5148039.48
2024-12-01,MRK-1002,Oncavera,North America,54740,4092417.14
2024-12-01,MRK-1002,Oncavera,EMEA,56311,11463137.31
2024-12-01,MRK-1002,Oncavera,APAC,51389,8158913.31
2024-12-01,MRK-1002,Oncavera,Latin America,28067,2166292.0
2024-12-01,MRK-1003,Immunext,North America,19057,3348934.24
2024-12-01,MRK-1003,Immunext,EMEA,54386,2937637.27
2024-12-01,MRK-1003,Immunext,APAC,19525,2973591.32
2024-12-01,MRK-1003,Immunext,Latin America,66983,5808337.69
2024-12-01,MRK-1004,Glucostat,North America,43788,5751373.69
2024-12-01,MRK-1004,Glucostat,EMEA,58312,3223993.8
2024-12-01,MRK-1004,Glucostat,APAC,44331,8694822.95
2024-12-01,MRK-1004,Glucostat,Latin America,53697,5741266.93
2024-12-01,MRK-1005,Neuroplex,North America,17008,3133065.01
2024-12-01,MRK-1005,Neuroplex,EMEA,47711,1861591.96
2024-12-01,MRK-1005,Neuroplex,APAC,14653,2723182.42
2024-12-01,MRK-1005,Neuroplex,Latin America,48117,10183263.71
2024-12-01,MRK-1006,Vaxishield,North America,49737,8773725.75
2024-12-01,MRK-1006,Vaxishield,EMEA,57788,11944190.71
2024-12-01,MRK-1006,Vaxishield,APAC,51110,1897755.93
2024-12-01,MRK-1006,Vaxishield,Latin America,20310,565061.77
2024-12-01,MRK-1007,Pulmocare,North America,31503,2046193.85
2024-12-01,MRK-1007,Pulmocare,EMEA,15911,3393975.92
2024-12-01,MRK-1007,Pulmocare,APAC,52908,3288360.64
2024-12-01,MRK-1007,Pulmocare,Latin America,45834,4012954.56
2024-12-01,MRK-1008,Dermalyx,North America,58953,10118035.59
2024-12-01,MRK-1008,Dermalyx,EMEA,49912,2809058.62
